date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:17	537702/537702	---M--	200	added ('OK')	image/jpeg	etag:%221844106e-83466-5a3e24785e25e%22	http://bendarby.co.uk/assets/img/bluehealth-preview.jpg	D:/work/1/bendarby.co.uk/assets/img/bluehealth-preview.jpg	(from http://bendarby.co.uk/work/bluehealth/)
12:22:18	243/243	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2006:52:21%20GMT	http://bendarby.co.uk/work/bluehealth/js/vendor/jquery-2.1.4.min.js	D:/work/1/bendarby.co.uk/work/bluehealth/js/vendor/jquery-2.1.4.min.5d.delayed	(from http://bendarby.co.uk/work/bluehealth/)
12:22:28	514246/514246	---M--	200	added ('OK')	image/png	etag:%2218441052-7d8c6-5a3e2477ec3ea%22	http://bendarby.co.uk/assets/img/bh-mobile.png	D:/work/1/bendarby.co.uk/assets/img/bh-mobile.png	(from http://bendarby.co.uk/work/bluehealth/)
12:23:07	299030/299030	---M--	200	added ('OK')	image/jpeg	etag:%221a1971b2-49016-5a46b478a3cc9%22	http://bendarby.co.uk/assets/img/hae-main.jpg	D:/work/1/bendarby.co.uk/assets/img/hae-main.jpg	(from http://bendarby.co.uk/work/hae/)
12:23:15	285490/285490	---M--	200	added ('OK')	image/png	etag:%221a1971bc-45b32-5a3e2d2f7d4c2%22	http://bendarby.co.uk/assets/img/hae-pre.png	D:/work/1/bendarby.co.uk/assets/img/hae-pre.png	(from http://bendarby.co.uk/work/hae/)
12:23:32	155825/155825	---M--	200	added ('OK')	image/png	etag:%221a1971b4-260b1-5a3e2d2f6e45a%22	http://bendarby.co.uk/assets/img/hae-mobile.png	D:/work/1/bendarby.co.uk/assets/img/hae-mobile.png	(from http://bendarby.co.uk/work/hae/)
12:23:37	650917/650917	---M--	200	added ('OK')	image/jpeg	etag:%221844105a-9eea5-5a3e2478146d3%22	http://bendarby.co.uk/assets/img/bluehealth-full.jpg	D:/work/1/bendarby.co.uk/assets/img/bluehealth-full.jpg	(from http://bendarby.co.uk/work/bluehealth/)
12:23:37	134114/134114	---M--	200	added ('OK')	image/png	etag:%221a1971b3-20be2-5a3e2d2f65d86%22	http://bendarby.co.uk/assets/img/hae-mobile-2.png	D:/work/1/bendarby.co.uk/assets/img/hae-mobile-2.png	(from http://bendarby.co.uk/work/hae/)
12:23:39	236/236	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2006:53:41%20GMT	http://bendarby.co.uk/work/hae/js/vendor/jquery-2.1.4.min.js	D:/work/1/bendarby.co.uk/work/hae/js/vendor/jquery-2.1.4.min.63.delayed	(from http://bendarby.co.uk/work/hae/)
12:23:41	757917/757917	---M--	200	added ('OK')	image/png	etag:%221844104d-b909d-5a3e2477dccc2%22	http://bendarby.co.uk/assets/img/bh-mobile-2.png	D:/work/1/bendarby.co.uk/assets/img/bh-mobile-2.png	(from http://bendarby.co.uk/work/bluehealth/)
12:25:07	1369118/1369118	---M--	200	added ('OK')	image/png	etag:%221a1971ac-14e41e-5a3e2d2f512cf%22	http://bendarby.co.uk/assets/img/hae-full.png	D:/work/1/bendarby.co.uk/assets/img/hae-full.png	(from http://bendarby.co.uk/work/hae/)
